[2025-02-26 22:17:13,805] INFO __main__:<module>:290 - Starting...
[2025-02-26 22:17:13,805] INFO __main__:step_04_predict_sentiment:264 - Using model: base...
[2025-02-26 22:17:14,236] INFO __main__:predict_sentiment:241 - Predict: [I loved this movie!                                                                                 ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,263] INFO __main__:predict_sentiment:241 - Predict: [This was the worst experience ever.                                                                 ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,291] INFO __main__:predict_sentiment:241 - Predict: [It was okay, but not great.                                                                         ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,317] INFO __main__:predict_sentiment:241 - Predict: [This was the worst movie I've ever seen. A complete waste of time.                                  ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,343] INFO __main__:predict_sentiment:241 - Predict: [Absolutely awful! I regret watching this movie.                                                     ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,370] INFO __main__:predict_sentiment:241 - Predict: [The plot was weak, and the acting was even worse.                                                   ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,396] INFO __main__:predict_sentiment:241 - Predict: [It had a few good moments, but overall, it was disappointing.                                       ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,402] INFO __main__:predict_sentiment:241 - Predict: [Not bad, but I wouldn’t watch it again.                                                             ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,424] INFO __main__:predict_sentiment:241 - Predict: [Es war der schlimmste Film, den ich je gesehen habe.                                                ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,450] INFO __main__:predict_sentiment:241 - Predict: [Der Film war eine große Enttäuschung.                                                               ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,455] INFO __main__:predict_sentiment:241 - Predict: [Ein durchschnittlicher Film mit einigen guten Momenten.                                             ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,459] INFO __main__:predict_sentiment:241 - Predict: [Der Film hatte eine interessante Handlung.                                                          ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,483] INFO __main__:predict_sentiment:241 - Predict: [Fantastischer Film! Ich habe jede Minute genossen.                                                  ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,487] INFO __main__:predict_sentiment:241 - Predict: [Questo film era terribile, non lo consiglio a nessuno.                                              ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,509] INFO __main__:predict_sentiment:241 - Predict: [Non mi è piaciuto, la trama era confusa.                                                            ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,515] INFO __main__:predict_sentiment:241 - Predict: [Un film discreto, ma niente di speciale.                                                            ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,518] INFO __main__:predict_sentiment:241 - Predict: [Molto bello, una storia ben raccontata.                                                             ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,522] INFO __main__:predict_sentiment:241 - Predict: [Capolavoro assoluto! Da vedere e rivedere.                                                          ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,525] INFO __main__:predict_sentiment:241 - Predict: [Ce film était terrible, je ne le recommande pas.                                                    ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,529] INFO __main__:predict_sentiment:241 - Predict: [Un film ennuyeux avec peu de bons moments.                                                          ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,556] INFO __main__:predict_sentiment:241 - Predict: [Un film moyen, mais agréable.                                                                       ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,559] INFO __main__:predict_sentiment:241 - Predict: [J'ai aimé l'histoire, c'était intéressant.                                                          ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,563] INFO __main__:predict_sentiment:241 - Predict: [Incroyable! Un des meilleurs films que j'ai vus.                                                    ] : 	 Sentiment: Negative
[2025-02-26 22:17:14,566] INFO __main__:predict_sentiment:241 - Predict: [Esta película fue horrible, no la recomiendo.                                                       ] : 	 Sentiment: Negative
